"pitcher","game_year","n_pitches","tunnel_quality_arsenal","tunnel_quartile","tunnel_bucket","avg_xRV","avg_actual_rv","tunneling_plus","percentile"
691172,2024,846,0.581060668415049,"Q4 (Best)","50-60%",-0.0152974231752768,-0.00425531914893617,108.5,96.1
571946,2024,2529,0.578654219329993,"Q4 (Best)","50-60%",-0.0152065126016619,-0.0174590747330961,108.4,96
664285,2025,8673,0.541094528267678,"Q1 (Worst)","30-40%",-0.0152185234478825,-0.0143884469041854,108.4,96
689958,2024,396,0.544544002323217,"Q2","40-50%",-0.0152467854945412,-0.0496515151515151,108.4,96
690925,2025,1395,0.560993215186123,"Q3","40-50%",-0.0151866307786853,-0.0177010752688172,108.4,96
548384,2025,1164,0.53567338662422,"Q1 (Worst)","30-40%",-0.015168138131502,-0.0335128865979381,108.3,95.6
623149,2023,3069,0.6120691579123,"Q4 (Best)","70-80%",-0.0151018642804828,-0.0158455522971652,108.3,95.6
661395,2025,3219,0.571853453769891,"Q4 (Best)","50-60%",-0.0151619968179955,-0.0201174277726002,108.3,95.6
664076,2023,627,0.562568466330769,"Q3","40-50%",-0.0150979664091758,-0.0147846889952153,108.3,95.6
666808,2023,3369,0.577676897799559,"Q4 (Best)","50-60%",-0.0151460840169812,-0.0170480854853072,108.3,95.6
676969,2024,531,0.572154903215147,"Q4 (Best)","50-60%",-0.0151231699106205,-0.00184180790960452,108.3,95.6
695243,2024,3066,0.56299704740865,"Q3","40-50%",-0.0151524836183193,-0.0246917808219178,108.3,95.6
695505,2025,2274,0.589368415613517,"Q4 (Best)","60-70%",-0.0151204713571291,-0.00868997361477573,108.3,95.6
592779,2023,1305,0.57090270068553,"Q4 (Best)","50-60%",-0.0150244772841563,-0.0222781609195402,108.2,95.5
676510,2025,63,0.573865088276196,"Q4 (Best)","50-60%",-0.0150273454547416,0.0782380952380952,108.2,95.5
686580,2025,1497,0.55081863027215,"Q2","40-50%",-0.0150750737502786,-0.0223446893787575,108.2,95.5
621363,2023,2781,0.545938706179473,"Q2","40-50%",-0.0149412237095407,-0.0207443365695793,108.1,95.4
665625,2023,2739,0.577301218668109,"Q4 (Best)","50-60%",-0.0149799363200807,-0.0180963855421687,108.1,95.4
689254,2025,2574,0.5770081733037,"Q4 (Best)","50-60%",-0.0150114952466284,-0.016002331002331,108.1,95.4
592779,2024,750,0.576015805384567,"Q4 (Best)","50-60%",-0.0149156651971862,-0.007832,108,95.1
595345,2025,3150,0.552527437512431,"Q2","40-50%",-0.0148848169745595,-0.0265466666666667,108,95.1
623352,2023,3060,0.576373655727513,"Q4 (Best)","50-60%",-0.0148609709587011,-0.0207872549019608,108,95.1
647315,2024,2196,0.599366839622414,"Q4 (Best)","60-70%",-0.0149310745671089,-0.00763114754098361,108,95.1
664849,2024,2013,0.543740929300575,"Q2","40-50%",-0.0149181741443771,-0.0162250372578241,108,95.1
665665,2025,57,0.536320312119553,"Q1 (Worst)","30-40%",-0.0148688377751234,0.0307368421052632,108,95.1
681517,2023,165,0.562129426345224,"Q3","40-50%",-0.0148640713204672,0.0537636363636364,108,95.1
592426,2023,1566,0.530288990898324,"Q1 (Worst)","30-40%",-0.0148022008667038,-0.0148065134099617,107.9,94.9
595014,2024,2211,0.601719902017362,"Q4 (Best)","60-70%",-0.0148287239875278,-0.0195915875169607,107.9,94.9
650911,2023,4362,0.546401184281293,"Q2","40-50%",-0.0148251632256136,-0.0133363136176066,107.9,94.9
682171,2023,630,0.607317216095457,"Q4 (Best)","60-70%",-0.0148321904735418,-0.0332571428571429,107.9,94.9
571479,2023,1356,0.579345856638184,"Q4 (Best)","50-60%",-0.0147215453985114,-0.00758628318584071,107.8,94.6
593974,2023,2631,0.550954738709535,"Q2","40-50%",-0.0147314284114729,-0.0132371721778791,107.8,94.6
624647,2023,1491,0.561225678449097,"Q3","40-50%",-0.0147237779481371,-0.0177102615694165,107.8,94.6
660730,2023,129,0.583134873394727,"Q4 (Best)","50-60%",-0.0147247106313359,-0.0466511627906977,107.8,94.6
671305,2025,363,0.591333974657601,"Q4 (Best)","60-70%",-0.0147556966444389,0.0264876033057851,107.8,94.6
671922,2025,3546,0.581422555326136,"Q4 (Best)","50-60%",-0.014760510589146,-0.0182098138747885,107.8,94.6
678606,2023,1665,0.558973504839419,"Q3","40-50%",-0.0147827022069389,-0.00443423423423423,107.8,94.6
594580,2023,3015,0.551209111923085,"Q2","40-50%",-0.014688688967004,-0.0182507462686567,107.7,94.5
613534,2023,1083,0.575798269556688,"Q4 (Best)","50-60%",-0.0146778240441689,-0.0138365650969529,107.7,94.5
673929,2025,3390,0.580726876167323,"Q4 (Best)","50-60%",-0.0146778492347659,-0.00605840707964602,107.7,94.5
676979,2024,7095,0.574105276608962,"Q4 (Best)","50-60%",-0.0146742594351663,-0.0117145877378436,107.7,94.5
445276,2023,2157,0.534034665732954,"Q1 (Worst)","30-40%",-0.0146214225576902,-0.015413073713491,107.6,94.2
518886,2023,3363,0.563297198657634,"Q3","40-50%",-0.0146248151487773,-0.0164888492417484,107.6,94.2
592779,2025,1830,0.580441707686956,"Q4 (Best)","50-60%",-0.0145739498859048,-0.0151262295081967,107.6,94.2
660761,2025,867,0.568076263282107,"Q3","50-60%",-0.0145604407082366,-0.0194671280276817,107.6,94.2
685801,2025,678,0.575030981403862,"Q4 (Best)","50-60%",-0.0145790420840412,-0.0104380530973451,107.6,94.2
687330,2023,3189,0.562393058773623,"Q3","40-50%",-0.0146143591696234,-0.0209143932267168,107.6,94.2
694819,2025,3492,0.562777441422757,"Q3","40-50%",-0.0145944145908782,-0.0114218213058419,107.6,94.2
592094,2024,3249,0.561122212325828,"Q3","40-50%",-0.0145259722571756,-0.0267368421052632,107.5,93.8
605483,2023,9486,0.570588913490386,"Q4 (Best)","50-60%",-0.0145379080650527,-0.017022770398482,107.5,93.8
623149,2024,1875,0.622476561305458,"Q4 (Best)","70-80%",-0.0144876479941187,-0.01296,107.5,93.8
664076,2025,2595,0.549508320578728,"Q2","40-50%",-0.0145399865558498,-0.0203109826589595,107.5,93.8
666208,2023,180,0.524219042924924,"Q1 (Worst)","30-40%",-0.0144977087756464,-0.00105,107.5,93.8
672335,2023,2619,0.536826969995534,"Q1 (Worst)","30-40%",-0.0144871501797085,-0.0113413516609393,107.5,93.8
673540,2024,195,0.561494438025593,"Q3","40-50%",-0.0145206235299926,-0.0247538461538462,107.5,93.8
681432,2023,405,0.566829780388123,"Q3","50-60%",-0.0144774083369325,-0.0125259259259259,107.5,93.8
683618,2025,774,0.552255817036052,"Q2","40-50%",-0.0145050479177301,-0.0159302325581395,107.5,93.8
571946,2025,2097,0.563386990878725,"Q3","40-50%",-0.0144603356408316,-0.0204721030042918,107.4,93.4
596112,2025,441,0.542916830542006,"Q1 (Worst)","40-50%",-0.0144279648107952,-0.0263945578231293,107.4,93.4
608371,2023,3159,0.561451037717352,"Q3","40-50%",-0.0144597970641346,-0.0174207027540361,107.4,93.4
621051,2023,2814,0.53453850465615,"Q1 (Worst)","30-40%",-0.0144147687742065,-0.0137100213219616,107.4,93.4
640448,2025,2538,0.573401508890372,"Q4 (Best)","50-60%",-0.0144493788251067,-0.0199054373522459,107.4,93.4
642048,2023,2358,0.543210626450073,"Q1 (Worst)","40-50%",-0.0144271121802094,-0.0180826972010178,107.4,93.4
663546,2024,3612,0.603375058694523,"Q4 (Best)","60-70%",-0.0144558749094944,-0.0137225913621262,107.4,93.4
672391,2023,1149,0.542120278944783,"Q1 (Worst)","40-50%",-0.014457826699262,0.00818537859007833,107.4,93.4
676254,2025,3054,0.57743790914779,"Q4 (Best)","50-60%",-0.0144731996360736,-0.0120049115913556,107.4,93.4
554430,2024,9402,0.578273151989766,"Q4 (Best)","50-60%",-0.0143739214687896,-0.0188813018506701,107.3,93.2
605483,2025,3084,0.58102199576834,"Q4 (Best)","50-60%",-0.0143435343739088,-0.017408560311284,107.3,93.2
667297,2025,1383,0.546402179738608,"Q2","40-50%",-0.0143367532115233,-0.0280694143167028,107.3,93.2
676428,2025,3072,0.555568471575361,"Q2","40-50%",-0.0143319802211153,-0.0125576171875,107.3,93.2
676604,2024,225,0.569208066281355,"Q4 (Best)","50-60%",-0.0143410086882068,-0.000826666666666667,107.3,93.2
596133,2025,3147,0.582147493666152,"Q4 (Best)","50-60%",-0.0142843879005941,-0.0175662535748332,107.2,93.1
607644,2023,1014,0.569553417507405,"Q4 (Best)","50-60%",-0.0142836138457883,-0.0319082840236686,107.2,93.1
621345,2025,555,0.584807009045622,"Q4 (Best)","50-60%",-0.0142648563817823,-0.0250594594594595,107.2,93.1
695243,2025,2913,0.556815446731091,"Q3","40-50%",-0.0142642818689368,-0.0214727085478888,107.2,93.1
594798,2025,7842,0.556333279884104,"Q3","40-50%",-0.0142053888510908,-0.0188588370313695,107.1,92.8
607192,2023,5664,0.553621697666125,"Q2","40-50%",-0.014176978677511,-0.0172044491525424,107.1,92.8
660813,2024,300,0.612975727287884,"Q4 (Best)","70-80%",-0.014167988596455,-0.0473,107.1,92.8
670970,2024,3189,0.562075870354122,"Q3","40-50%",-0.0142124579898941,-0.0113951081843838,107.1,92.8
672335,2024,2589,0.557321142881999,"Q3","40-50%",-0.0142012757305597,-0.0167056778679027,107.1,92.8
685314,2023,468,0.579974600354587,"Q4 (Best)","50-60%",-0.0141638566042858,-0.0319935897435897,107.1,92.8
686993,2025,3276,0.602764416816314,"Q4 (Best)","60-70%",-0.0142273181031719,-0.0153608058608059,107.1,92.8
593619,2023,951,0.566570159952049,"Q3","50-60%",-0.0141301060135585,-0.0131135646687697,107,92.6
593974,2024,1836,0.559099407421854,"Q3","40-50%",-0.0141590836318119,-0.0111225490196078,107,92.6
641656,2023,2910,0.59804818054834,"Q4 (Best)","60-70%",-0.0140946844148032,-0.0156072164948454,107,92.6
686752,2024,6420,0.571905367829485,"Q4 (Best)","50-60%",-0.0141322214339215,-0.0138738317757009,107,92.6
686993,2024,183,0.569328506293365,"Q4 (Best)","50-60%",-0.0141469918164715,-0.00586885245901639,107,92.6
518617,2023,2904,0.538262418191733,"Q1 (Worst)","30-40%",-0.0140265983748442,-0.0169173553719008,106.9,92.3
657097,2023,2766,0.575833331417881,"Q4 (Best)","50-60%",-0.0140829243333673,-0.0158394793926247,106.9,92.3
663432,2025,603,0.595274332839028,"Q4 (Best)","60-70%",-0.0140252458880046,-0.0155522388059701,106.9,92.3
672391,2025,2364,0.561662940645505,"Q3","40-50%",-0.014039465795392,-0.00766624365482233,106.9,92.3
674384,2025,729,0.560944572895361,"Q3","40-50%",-0.0140639147394861,0.000185185185185186,106.9,92.3
682842,2024,765,0.561450303334529,"Q3","40-50%",-0.014025130051938,-0.00190588235294118,106.9,92.3
664776,2023,606,0.554747897109775,"Q2","40-50%",-0.0139788500034796,-0.000193069306930692,106.8,92.2
681402,2024,1350,0.559062017975399,"Q3","40-50%",-0.0139621808098552,-0.00688222222222222,106.8,92.2
693312,2025,1941,0.554691559765135,"Q2","40-50%",-0.0139459136863273,-0.0128485316846986,106.8,92.2
518886,2024,2874,0.572027129309407,"Q4 (Best)","50-60%",-0.0139211851823317,-0.0115960334029228,106.7,91.7
621051,2024,1851,0.555797169670723,"Q3","40-50%",-0.0139101236852436,-0.0043030794165316,106.7,91.7
657649,2025,3129,0.533584914681214,"Q1 (Worst)","30-40%",-0.0138740184705189,-0.0135148609779482,106.7,91.7
661395,2024,2640,0.573476219996582,"Q4 (Best)","50-60%",-0.0139195563691994,-0.0132909090909091,106.7,91.7
669093,2025,3708,0.557308560832225,"Q3","40-50%",-0.0138712680374391,-0.0107160194174757,106.7,91.7
669622,2024,2805,0.569856899338772,"Q4 (Best)","50-60%",-0.0138693447211411,-0.0121978609625668,106.7,91.7
676428,2024,1935,0.558909167940094,"Q3","40-50%",-0.0139091399042042,-0.0265116279069767,106.7,91.7
680729,2025,573,0.54829401712228,"Q2","40-50%",-0.0138874559154148,0.00886387434554974,106.7,91.7
681911,2025,3069,0.556252664950581,"Q3","40-50%",-0.0138899138750069,-0.0157565982404692,106.7,91.7
689981,2024,885,0.556329332254938,"Q3","40-50%",-0.0138788411565795,-0.0215389830508475,106.7,91.7
693312,2023,333,0.556355948159435,"Q3","40-50%",-0.0139141922203356,0.00915315315315315,106.7,91.7
598286,2023,1959,0.565800050998582,"Q3","50-60%",-0.0138348054435711,-0.0161117917304747,106.6,91.4
623149,2025,951,0.616142853464904,"Q4 (Best)","70-80%",-0.0138180272105868,-0.0117223974763407,106.6,91.4
641745,2025,3339,0.577955152933874,"Q4 (Best)","50-60%",-0.013826622574361,-0.0242111410601977,106.6,91.4
642048,2024,1872,0.534811266926565,"Q1 (Worst)","30-40%",-0.013817033130688,-0.0130144230769231,106.6,91.4
