#,Name,MLBAMID,Team,STD_POS,Last,First,Lastv2,Firstv2
448,Ryan Yarbrough,642232,NYY,SP,Yarbrough,Ryan,Yarbrough,Ryan
450,Gregory Soto,642397,NYM,RP,Soto,Gregory,Soto,Gregory
451,Jonathan Loaisiga,642528,NYY,RP,Loaisiga,Jonathan,Loáisiga,Jonathan
452,Jonathan Hernandez,642546,TB,RP,Hernandez,Jonathan,Hernández,Jonathan
453,Freddy Peralta,642547,MIL,SP,Peralta,Freddy,Peralta,Freddy
454,Gerson Moreno,642575,STL,RP,Moreno,Gerson,Moreno,Gerson
455,Felix Bautista,642585,BAL,RP,Bautista,Felix,Bautista,Félix
456,Dennis Santana,642701,PIT,RP,Santana,Dennis,Santana,Dennis
462,Justin Dunn,643290,KC,SP,Dunn,Justin,Dunn,Justin
463,Griffin Jax,643377,TB,RP,Jax,Griffin,Jax,Griffin
465,Mark Leiter Jr.,643410,NYY,RP,Leiter Jr.,Mark,Leiter Jr.,Mark
467,Austin Pruitt,643493,ATH,RP,Pruitt,Austin,Pruitt,Austin
468,Tyler Rogers,643511,NYM,RP,Rogers,Tyler,Rogers,Tyler
470,Sandy Alcantara,645261,MIA,SP,Alcantara,Sandy,Alcantara,Sandy
475,Jhonathan Diaz,646242,SEA,SP,Diaz,Jhonathan,Díaz,Jhonathan
477,Zach Pop,647315,CHC,RP,Pop,Zach,Pop,Zach
478,Michael Soroka,647336,CHC,SP,Soroka,Michael,Soroka,Michael
485,Bryan Abreu,650556,HOU,RP,Abreu,Bryan,Abreu,Bryan
488,Michael King,650633,SD,SP,King,Michael,King,Michael
489,Aaron Civale,650644,CHC,SP,Civale,Aaron,Civale,Aaron
491,Genesis Cabrera,650893,MIN,RP,Cabrera,Genesis,Cabrera,Génesis
492,Diego Castillo,650895,COL,RP,Castillo,Diego,Castillo,Diego
494,Cristopher Sanchez,650911,PHI,SP,Sanchez,Cristopher,Sánchez,Cristopher
495,Daniel Duarte,650960,MIN,RP,Duarte,Daniel,Duarte,Daniel
498,Manuel Rodriguez,655889,TB,RP,Rodriguez,Manuel,Rodríguez,Manuel
500,Albert Abreu,656061,CIN,RP,Abreu,Albert,Abreu,Albert
502,Jalen Beeks,656222,ARI,RP,Beeks,Jalen,Beeks,Jalen
503,Brandon Bielak,656232,ARI,RP,Bielak,Brandon,Bielak,Brandon
504,Jake Bird,656234,NYY,RP,Bird,Jake,Bird,Jake
506,J.B. Bukauskas,656266,MIL,RP,Bukauskas,J.B.,Bukauskas,J.B.
507,Brock Burke,656271,LAA,RP,Burke,Brock,Burke,Brock
508,Griffin Canning,656288,NYM,SP,Canning,Griffin,Canning,Griffin
