"pitcher","game_year","num_pitch_types","pitch_arsenal","total_combinations","total_pitches","release_similarity_arsenal","approach_divergence_arsenal","tunnel_quality_arsenal","tunnel_quality_percentile","release_sim_percentile","approach_div_percentile","tunneling_plus_score","tunneling_plus_percentile","avg_actual_rv","avg_xRV"
605488,2023,4,"CH/FF/SL/ST",12,1899,0.282020893285319,0.904284221540956,0.593152557413137,95.1,83.6,90.3,99.4,34.6,-0.0430521327014218,-0.00820365905214401
600917,2023,5,"CH/FC/FF/SI/SL",20,11724,0.309434969685897,0.876587146503564,0.593011058094731,95.1,95.2,61.2,102.8,67.4,-0.0179691358024691,-0.0108895216354491
641941,2024,3,"FC/FF/FS",6,3558,0.305702976653793,0.880250389634136,0.592976683143964,95,94,66.1,104.4,80.2,-0.00525801011804384,-0.0121194657778448
656848,2025,3,"FC/FF/SI",6,1956,0.301090420764057,0.884597982238324,0.592844201501191,95,91.9,72.3,99.2,32.7,-0.00486503067484663,-0.0080662559810026
677020,2023,2,"CU/FF",2,645,0.248855529435137,0.936813530779945,0.592834530107541,95,57.7,97.6,95.9,11.2,0.000990697674418605,-0.00550004522949674
686654,2023,2,"FF/SL",2,621,0.261795964841177,0.923758190563237,0.592777077702207,94.9,69,96.2,101.8,59.2,-0.0157487922705314,-0.0100667314633591
669618,2023,2,"FF/SL",2,429,0.298550201766726,0.886667763307513,0.59260898253712,94.9,91.3,74.6,105.5,86.6,-0.0049020979020979,-0.0129711663177875
571670,2023,4,"CH/FF/SI/SL",12,8649,0.328043526699717,0.857132704610228,0.592588115654972,94.8,98.3,30.2,98.5,26,-0.00380877742946708,-0.00751079577401027
641816,2025,4,"FC/FF/FS/SL",12,12429,0.305180152803965,0.879885729149548,0.592532940976756,94.8,93.4,65.8,98.8,28.6,-0.0208117306299783,-0.00778872157551106
621237,2025,3,"CU/FC/SI",6,2706,0.265715242322032,0.919210365908347,0.59246280411519,94.8,71.8,95.3,102.5,65.3,-0.00469179600886918,-0.0106545109338266
592527,2023,4,"CH/FF/SI/SL",12,351,0.307418120362167,0.87748923215686,0.592453676259514,94.7,94.6,62.4,96.7,14.7,0.0272820512820513,-0.00618413535770602
686752,2023,3,"CH/FF/SL",6,3924,0.294100554285112,0.889316169710738,0.591708361997925,94.7,89.8,77.7,105,83.9,-0.0199663608562691,-0.0125559352712169
571670,2024,4,"CH/FF/SI/SL",12,9162,0.334948700222145,0.848225329022353,0.591587014622249,94.6,98.9,19.1,102,60.7,-0.0169733727810651,-0.010250652111725
668984,2024,3,"CH/FF/SL",6,984,0.320275656008346,0.862887594721789,0.591581625365067,94.6,97.4,38.7,101.4,55.1,0.0139817073170732,-0.00975775808236482
702795,2024,2,"FF/ST",2,90,0.204659192344461,0.978364639848194,0.591511916096327,94.5,16.2,99.7,90.1,3,-0.0196,-0.00102922664955258
671305,2025,3,"FF/SI/SL",6,726,0.282446532106482,0.900221417208721,0.591333974657601,94.5,84,88,107.8,94.6,0.0264876033057851,-0.0147556966444389
641386,2025,3,"CH/FF/SL",6,1110,0.293918855606978,0.888559439123601,0.591239147365289,94.5,89.7,76.7,100.9,49.7,-0.00694054054054054,-0.0093914959014148
687377,2025,4,"CH/FF/SI/SL",12,4509,0.319699793889328,0.862571767256994,0.591135780573161,94.4,97.4,38.3,100.7,47.1,0.00132335329341317,-0.00925418125278342
696136,2024,6,"CH/CU/FF/SI/SL/ST",30,12780,0.285618084346912,0.896373743743096,0.590995914045004,94.4,85.4,84.9,95.1,8.4,0.00363807285546416,-0.0048824768092718
592662,2024,3,"FF/KC/SL",6,3408,0.310436716616792,0.87154471277648,0.590990714696636,94.3,95.5,52.6,99.6,36.6,-0.0111531690140845,-0.00835884447531524
605177,2023,4,"CH/FF/SI/SL",12,8289,0.312320609544352,0.869486281046924,0.590903445295638,94.3,95.9,48.7,95.2,8.8,-0.0064554347826087,-0.00502468405222475
657612,2025,3,"FF/SI/SL",6,5394,0.346940660815021,0.834829687548489,0.590885174181755,94.3,99.5,9.3,112.7,99.1,-0.0212369299221357,-0.0185704505728122
681217,2025,4,"FF/FS/SI/ST",12,1908,0.298555247488564,0.882942102464856,0.59074867497671,94.2,91.4,70.1,103.9,76.6,-0.00917924528301887,-0.0117454752504479
620454,2025,4,"CH/FF/SI/SL",12,4887,0.305585755695702,0.875644033222814,0.590614894459258,94.2,93.8,59.6,100.8,48.4,-0.00202578268876611,-0.00933458479587096
664776,2024,2,"SI/SL",2,1920,0.198849529774884,0.982163242156546,0.590506385965715,94.1,12.9,99.7,102.8,67.4,-0.0214328125,-0.0108856298697901
622491,2024,4,"CH/FF/SI/SL",12,25704,0.319127648583417,0.861453823791336,0.590290736187377,94.1,97.2,36.7,99.5,35.8,-0.00971941923774955,-0.00829342155147491
641656,2024,3,"FF/SI/SL",6,3714,0.294558906471859,0.886004898695077,0.590281902583468,94.1,90,73.9,103.7,75.4,-0.0151114701130856,-0.0115521373576344
621016,2023,5,"CH/FF/SI/SL/ST",20,14112,0.31472938519371,0.865440572546687,0.590084978870198,94,96.4,42.5,101.1,51.7,-0.00642710120068611,-0.00952287471276761
691441,2025,5,"CH/CU/FF/SI/ST",20,1200,0.302778741701673,0.877252578833943,0.590015660267808,94,92.5,62.2,102.7,66.6,-0.02219,-0.0108033170853741
657024,2024,3,"FF/FS/SL",6,3996,0.305334876501179,0.87460288210062,0.5899688793009,93.9,93.6,57.8,100.1,41.1,-0.00180300751879699,-0.00880225169165165
456501,2023,5,"CH/FC/FF/SI/SL",20,10284,0.343845151709958,0.836040598588249,0.589942875149104,93.9,99.3,9.8,96.1,12,-0.000305717619603268,-0.00564624608621081
656730,2025,2,"FF/KC",2,2259,0.274738173615626,0.905088374086723,0.589913273851175,93.8,78.7,90.9,117,99.8,-0.0192045152722444,-0.0218870538413213
676714,2024,3,"FF/SI/SL",6,2100,0.282394840468562,0.89742640251041,0.589910621489486,93.8,84,85.7,100.1,41.1,0.01806,-0.00879558163426866
676050,2023,4,"CH/FC/FF/SI",12,612,0.330599839739474,0.849020769146196,0.589810304442835,93.8,98.6,19.9,95.7,10.2,-0.0351060606060606,-0.00536131073727809
607359,2023,2,"FF/SL",2,591,0.215980983505309,0.963636792887866,0.589808888196588,93.7,24.3,99.2,95.3,9,0.0036497461928934,-0.0051025003413457
663992,2025,4,"FF/SI/SL/ST",12,1989,0.308086812962916,0.871466773421325,0.589776793192121,93.7,94.9,52.4,100,40.3,-0.0016289592760181,-0.00866977317149148
669459,2023,3,"FC/FF/SL",6,5268,0.346912299740291,0.832490547929318,0.589701423834805,93.6,99.4,7.6,94.3,6.9,-0.00298735632183908,-0.004296847562782
640462,2025,2,"FF/SL",2,462,0.228232922810308,0.951102839055294,0.589667880932801,93.6,36,98.8,101.1,51.7,-0.0018051948051948,-0.00955111669170876
681676,2025,4,"CH/FC/FF/SL",12,4707,0.310952656351705,0.868353016900491,0.589652836626098,93.6,95.7,46.8,104.2,79,0.00376099426386233,-0.0119644640559815
