"pitcher","game_year","num_pitch_types","pitch_arsenal","total_combinations","total_pitches","release_similarity_arsenal","approach_divergence_arsenal","tunnel_quality_arsenal"
686752,2023,3,"CH/FF/SL",6,3924,0.294100554285112,0.889316169710738,0.591708361997925
571670,2024,4,"CH/FF/SI/SL",12,9162,0.334948700222145,0.848225329022353,0.591587014622249
668984,2024,3,"CH/FF/SL",6,984,0.320275656008346,0.862887594721789,0.591581625365067
702795,2024,2,"FF/ST",2,90,0.204659192344461,0.978364639848194,0.591511916096327
671305,2025,3,"FF/SI/SL",6,726,0.282446532106482,0.900221417208721,0.591333974657601
641386,2025,3,"CH/FF/SL",6,1110,0.293918855606978,0.888559439123601,0.591239147365289
687377,2025,4,"CH/FF/SI/SL",12,4509,0.319699793889328,0.862571767256994,0.591135780573161
696136,2024,6,"CH/CU/FF/SI/SL/ST",30,12780,0.285618084346912,0.896373743743096,0.590995914045004
592662,2024,3,"FF/KC/SL",6,3408,0.310436716616792,0.87154471277648,0.590990714696636
605177,2023,4,"CH/FF/SI/SL",12,8289,0.312320609544352,0.869486281046924,0.590903445295638
657612,2025,3,"FF/SI/SL",6,5394,0.346940660815021,0.834829687548489,0.590885174181755
681217,2025,4,"FF/FS/SI/ST",12,1908,0.298555247488564,0.882942102464856,0.59074867497671
620454,2025,4,"CH/FF/SI/SL",12,4887,0.305585755695702,0.875644033222814,0.590614894459258
664776,2024,2,"SI/SL",2,1920,0.198849529774884,0.982163242156546,0.590506385965715
622491,2024,4,"CH/FF/SI/SL",12,25704,0.319127648583417,0.861453823791336,0.590290736187377
641656,2024,3,"FF/SI/SL",6,3714,0.294558906471859,0.886004898695077,0.590281902583468
621016,2023,5,"CH/FF/SI/SL/ST",20,14112,0.31472938519371,0.865440572546687,0.590084978870198
691441,2025,5,"CH/CU/FF/SI/ST",20,1200,0.302778741701673,0.877252578833943,0.590015660267808
657024,2024,3,"FF/FS/SL",6,3996,0.305334876501179,0.87460288210062,0.5899688793009
456501,2023,5,"CH/FC/FF/SI/SL",20,10284,0.343845151709958,0.836040598588249,0.589942875149104
656730,2025,2,"FF/KC",2,2259,0.274738173615626,0.905088374086723,0.589913273851175
676714,2024,3,"FF/SI/SL",6,2100,0.282394840468562,0.89742640251041,0.589910621489486
676050,2023,4,"CH/FC/FF/SI",12,612,0.330599839739474,0.849020769146196,0.589810304442835
607359,2023,2,"FF/SL",2,591,0.215980983505309,0.963636792887866,0.589808888196588
663992,2025,4,"FF/SI/SL/ST",12,1989,0.308086812962916,0.871466773421325,0.589776793192121
669459,2023,3,"FC/FF/SL",6,5268,0.346912299740291,0.832490547929318,0.589701423834805
640462,2025,2,"FF/SL",2,462,0.228232922810308,0.951102839055294,0.589667880932801
681676,2025,4,"CH/FC/FF/SL",12,4707,0.310952656351705,0.868353016900491,0.589652836626098
607455,2024,4,"CH/FF/SI/SL",12,6966,0.305922425960596,0.873284968008862,0.589603696984729
641672,2025,6,"CH/FC/FF/SI/SL/ST",30,8775,0.320719330263333,0.858380872558364,0.589550101410849
614179,2023,4,"CH/CU/FF/SI",12,7335,0.2999301257055,0.879095945143515,0.589513035424507
695505,2025,4,"CH/FF/SI/SL",12,6822,0.293178825470398,0.885558005756637,0.589368415613517
643493,2023,5,"CH/CU/FF/SI/SL",20,9060,0.303711814057761,0.87459140077044,0.589151607414101
641729,2023,3,"CH/FF/SL",6,5610,0.273049751920268,0.905136963520148,0.589093357720208
657044,2024,3,"FF/SI/SL",6,5862,0.321573280950398,0.856435767965185,0.589004524457792
642100,2025,3,"FF/SI/SL",6,5526,0.280300858275896,0.897473427846362,0.588887143061129
689266,2025,4,"CH/FC/FF/SL",12,4824,0.305377634899664,0.872142212071431,0.588759923485548
605447,2024,2,"FF/SL",2,645,0.263942965622429,0.913009048187992,0.588476006905211
614179,2025,4,"CH/CU/FF/SI",12,2673,0.297415394598554,0.879457888916518,0.588436641757536
642758,2023,3,"CH/FF/SL",6,1050,0.307585748642596,0.868490030766998,0.588037889704797
621114,2024,2,"FF/SL",2,1707,0.296317087944941,0.879727294136252,0.588022191040596
676714,2023,3,"FF/SI/SL",6,1434,0.267333986907496,0.908215008195253,0.587774497551374
669211,2025,3,"CH/FF/SL",6,6348,0.281172983273831,0.894144196778529,0.58765859002618
669093,2023,2,"FF/SL",2,690,0.245559440724407,0.929123615194183,0.587341527959294
542947,2023,5,"FC/FF/FS/SI/SL",20,5472,0.309719196864379,0.864930015206954,0.587324606035667
640448,2023,3,"FF/FS/SL",6,6624,0.313025754736465,0.86114983149993,0.587087793118197
542888,2023,4,"FC/FF/SI/SV",12,7173,0.305692227730197,0.868325679522466,0.587008953626331
676571,2025,4,"CH/FF/SI/ST",12,3771,0.304958169840853,0.868923977524393,0.586941073682623
688642,2025,4,"FC/FF/FS/ST",12,4743,0.284521509838787,0.888945882939201,0.586733696388994
669372,2025,4,"CH/FC/SI/SL",12,14130,0.310738421314558,0.862248872667831,0.586493646991195
445276,2025,4,"FC/SI/SL/ST",12,7821,0.290642550156081,0.88205159044513,0.586347070300606
593576,2023,4,"FF/FS/SI/SL",12,9828,0.30535613866246,0.867067133718151,0.586211636190305
668674,2025,4,"CH/FF/SI/SL",12,8667,0.307965320894637,0.864348272274978,0.586156796584808
690916,2025,6,"CH/CU/FF/SI/SL/ST",30,11025,0.291165488295701,0.881091296705314,0.586128392500508
643377,2024,5,"CH/CU/FF/SI/ST",20,12816,0.26762983565063,0.904527319644358,0.586078577647494
641793,2023,5,"FF/FS/SI/SL/ST",20,15792,0.291236079588452,0.880744854032375,0.585990466810414
670955,2023,2,"CH/FF",2,147,0.304589655590827,0.867285307367114,0.58593748147897
554431,2025,3,"FF/SI/SL",6,762,0.267315100954141,0.904465748049266,0.585890424501704
673380,2025,2,"FF/SL",2,537,0.295803647479682,0.875973295168816,0.585888471324248
663574,2025,3,"FF/SL/SV",6,7374,0.230200976663968,0.941163500857566,0.585682238760767
