"pitcher","game_year","pitch_arsenal","n_pitches","avg_actual_rv","xrv_percentile","tunnel_quality_arsenal","release_similarity_arsenal","approach_divergence_arsenal","tunnel_quality_percentile","release_sim_percentile","approach_div_percentile","num_pitch_types","total_pitches","total_combinations"
676714,2024,"FF/SI/SL",1050,0.01806,5.5,0.589910621489486,0.282394840468562,0.89742640251041,93.9,84,86.2,3,2100,6
676050,2023,"CH/FC/FF/SI",204,-0.0370735294117647,99.1,0.589810304442835,0.330599839739474,0.849020769146196,93.9,98.6,19.5,4,612,12
607359,2023,"FF/SL",615,0.00612195121951219,13.8,0.589808888196588,0.215980983505309,0.963636792887866,93.8,23.9,99.4,2,591,2
663992,2025,"FF/SI/SL/ST",663,-0.0016289592760181,26.9,0.589776793192121,0.308086812962916,0.871466773421325,93.8,95.1,52.4,4,1989,12
669459,2023,"FC/FF/SL",2634,-0.00419020501138952,33.5,0.589701423834805,0.346912299740291,0.832490547929318,93.7,99.5,7.2,3,5268,6
640462,2025,"FF/SL",468,-0.00106410256410256,25.7,0.589667880932801,0.228232922810308,0.951102839055294,93.7,35.7,98.9,2,462,2
681676,2025,"CH/FC/FF/SL",1569,0.00376099426386233,16.3,0.589652836626098,0.310952656351705,0.868353016900491,93.7,95.8,46.8,4,4707,12
607455,2024,"CH/FF/SI/SL",2322,-0.0155490956072351,76.1,0.589603696984729,0.305922425960596,0.873284968008862,93.6,94.2,55.8,4,6966,12
641672,2025,"CH/FC/FF/SI/SL/ST",1755,0.00656752136752137,13.4,0.589550101410849,0.320719330263333,0.858380872558364,93.6,97.7,31.9,6,8775,30
614179,2023,"CH/CU/FF/SI",2445,0.00477300613496933,15.2,0.589513035424507,0.2999301257055,0.879095945143515,93.5,91.8,64.6,4,7335,12
695505,2025,"CH/FF/SI/SL",2295,-0.00653071895424836,41.5,0.589368415613517,0.293178825470398,0.885558005756637,93.5,89.4,73.6,4,6822,12
643493,2023,"CH/CU/FF/SI/SL",2271,-0.0134610303830911,69.3,0.589151607414101,0.303711814057761,0.87459140077044,93.4,92.9,57.9,5,9060,20
641729,2023,"CH/FF/SL",2808,-0.00946047008547008,54,0.589093357720208,0.273049751920268,0.905136963520148,93.4,77.6,91.3,3,5610,6
657044,2024,"FF/SI/SL",2931,-0.0158986693961105,77.5,0.589004524457792,0.321573280950398,0.856435767965185,93.4,97.8,29,3,5862,6
642100,2025,"FF/SI/SL",2763,-0.0236558089033659,93,0.588887143061129,0.280300858275896,0.897473427846362,93.3,82.3,86.2,3,5526,6
689266,2025,"CH/FC/FF/SL",1608,-0.0183992537313433,84.8,0.588759923485548,0.305377634899664,0.872142212071431,93.3,93.8,53.9,4,4824,12
605447,2024,"FF/SL",645,-0.000213953488372094,24.1,0.588476006905211,0.263942965622429,0.913009048187992,93.2,70.4,94.1,2,645,2
614179,2025,"CH/CU/FF/SI",906,0.0103807947019868,9.8,0.588436641757536,0.297415394598554,0.879457888916518,93.2,91.1,65.3,4,2673,12
642758,2023,"CH/FF/SL",525,0.0245485714285714,3.5,0.588037889704797,0.307585748642596,0.868490030766998,93.1,94.8,47.1,3,1050,6
621114,2024,"FF/SL",1710,-0.0107894736842105,59.4,0.588022191040596,0.296317087944941,0.879727294136252,93.1,90.6,65.7,2,1707,2
676714,2023,"FF/SI/SL",717,-0.00195397489539749,27.6,0.587774497551374,0.267333986907496,0.908215008195253,93.1,73,92.5,3,1434,6
669211,2025,"CH/FF/SL",3174,-0.0113345935727788,61.2,0.58765859002618,0.281172983273831,0.894144196778529,93,82.8,83.3,3,6348,6
669093,2023,"FF/SL",711,0.0089746835443038,11,0.587341527959294,0.245559440724407,0.929123615194183,93,54,97.1,2,690,2
542947,2023,"FC/FF/FS/SI/SL",1368,-0.00752850877192982,46,0.587324606035667,0.309719196864379,0.864930015206954,92.9,95.5,41.7,5,5472,20
640448,2023,"FF/FS/SL",3315,-0.00752941176470588,46,0.587087793118197,0.313025754736465,0.86114983149993,92.9,96.3,36.2,3,6624,6
542888,2023,"FC/FF/SI/SV",2391,-0.0268845671267252,96.3,0.587008953626331,0.305692227730197,0.868325679522466,92.9,94,46.7,4,7173,12
676571,2025,"CH/FF/SI/ST",1257,-0.0134701670644391,69.4,0.586941073682623,0.304958169840853,0.868923977524393,92.8,93.4,47.9,4,3771,12
688642,2025,"FC/FF/FS/ST",1581,-0.000916508538899431,25.5,0.586733696388994,0.284521509838787,0.888945882939201,92.8,84.9,77.5,4,4743,12
669372,2025,"CH/FC/SI/SL",4719,0.00215384615384615,18.7,0.586493646991195,0.310738421314558,0.862248872667831,92.7,95.8,37.7,4,14130,12
445276,2025,"FC/SI/SL/ST",2607,-0.027409666283084,96.7,0.586347070300606,0.290642550156081,0.88205159044513,92.7,88,69,4,7821,12
593576,2023,"FF/FS/SI/SL",3276,-0.0215054945054945,91.1,0.586211636190305,0.30535613866246,0.867067133718151,92.6,93.8,44.5,4,9828,12
668674,2025,"CH/FF/SI/SL",2889,-0.0160301142263759,78,0.586156796584808,0.307965320894637,0.864348272274978,92.6,95,41,4,8667,12
690916,2025,"CH/CU/FF/SI/SL/ST",2205,-0.0067578231292517,42.8,0.586128392500508,0.291165488295701,0.881091296705314,92.6,88.4,67.6,6,11025,30
643377,2024,"CH/CU/FF/SI/ST",3204,-0.02662734082397,96.2,0.586078577647494,0.26762983565063,0.904527319644358,92.5,73.3,91,5,12816,20
641793,2023,"FF/FS/SI/SL/ST",3948,-0.0100395136778115,56.4,0.585990466810414,0.291236079588452,0.880744854032375,92.5,88.5,67.2,5,15792,20
